"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"SR-248 @ MP 1 COMSTOCK DR.",NA,NA,0,0,0,100,0,0,40.66786,-111.49192,"Summit"
"SR-276 @ MP 21.5 MT. ELLSWORTH",2024-02-08 09:20:00,2024-02-09 10:30:00,0.28,7,25.17,13.25,41.72,45.03,37.7519,-110.6545,"Garfield"
"SR-30 @ MP 124 LAKETOWN SUMMIT",NA,NA,0,0,0,100,0,0,41.80802,-111.25174,"Rich"
"SR-32 @ MP 16.5 MARION",NA,NA,0,0,0,100,0,0,40.69837,-111.28088,"Summit"
"SR-35 @ WOLF CREEK PASS",NA,NA,0,0,0,100,0,0,40.487,-111.034,"Wasatch"
"SR-36 @ MP 49 STOCKTON BAR",2024-02-09 06:50:00,2024-02-09 12:50:00,0.21,1.28,6,48.65,51.35,0,40.4689,-112.352,"Tooele"
"SR-36 @ MP 57 TOOELE",2024-02-09 01:50:00,2024-02-09 11:20:00,0.15,1.43,9.5,17.24,72.41,10.34,40.56585,-112.2962,"Tooele"
"SR-39 @ MP 17.5 HUNTSVILLE",2024-02-08 06:40:00,2024-02-08 12:10:00,0.29,1.61,5.5,29.41,64.71,5.88,41.24793,-111.77576,"Weber"
"SR-44 @ MP 9 MOOSE POND",NA,NA,0,0,0,100,0,0,40.84185,-109.64705,"Daggett"
"SR-56 @ MP 43 IRON MOUNTAIN SUMMIT",NA,NA,0,0,0,100,0,0,37.6099,-113.3698,"Iron"
"SR-65 @ BIG MOUNTAIN PASS",NA,NA,0,0,0,100,0,0,40.828,-111.654,"Salt Lake"
"SR-85 @ DANNON WAY",2024-02-09 08:10:00,2024-02-09 11:50:00,0.23,0.83,3.67,39.13,60.87,0,40.582,-112.03,"Salt Lake"
"SR-85 @ JUNIPER",2024-02-09 09:40:00,2024-02-09 17:30:00,0.3,2.32,7.83,20.83,68.75,10.42,40.486,-111.994,"Salt Lake"
"SR-85 @ SR-201",2024-02-09 06:50:00,2024-02-09 11:40:00,0.3,1.46,4.83,10,50,40,40.7247,-112.0288,"Salt Lake"
"SR-92 @ MP 12 AMERICAN FORK CANYON",NA,NA,0,0,0,100,0,0,40.45094,-111.6679,"Utah"
"SR-95 @ SALVATION KNOLL",NA,NA,0,0,0,100,0,0,37.565,-109.819,"San Juan"
"US-189 @ CHARLESTON",2024-02-08 03:30:00,2024-02-09 20:40:00,0.229070833333333,5.4977,24,28.9034458333333,70.4158416666667,0.6807125,40.456,-111.471,"Wasatch"
"US-189 @ DEER CREEK DAM",NA,NA,0,0,0,100,0,0,40.405,-111.527,"Wasatch"
"US-189 @ LOWER PROVO CANYON",NA,NA,0,0,0,100,0,0,40.328,-111.639,"Utah"
