"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"US-40 @ HEBER",NA,NA,0,0,0,100,0,0,40.564,-111.429,"Wasatch"
"US-40 @ MAYFLOWER",NA,NA,0,0,0,100,0,0,40.653,-111.457,"Summit"
"US-40 @ MP 105 MYTON",2024-03-03 05:50:00,2024-03-03 12:50:00,0.6,4.22,7,32.56,60.47,6.98,40.19943,-110.06792,"Duchesne"
"US-40 @ MP 140 ASPHALT RIDGE",2024-03-03 07:20:00,2024-03-03 11:50:00,0.47,2.13,4.5,21.43,50,28.57,40.41635,-109.58215,"Uintah"
"US-40 @ MP 66 FRUITLAND",2024-03-03 05:00:00,2024-03-03 18:10:00,0.38,4.98,13.17,22.5,72.5,5,40.20525,-110.77125,"Duchesne"
"US-40 @ STARVATION RESERVOIR",2024-03-02 16:40:00,2024-03-03 13:10:00,0.38,7.7,20.5,12.9,81.45,5.65,40.173,-110.493,"Duchesne"
"US-491 @ MP 2 MONTICELLO POE",NA,NA,0,0,0,100,0,0,37.873,-109.3061,"San Juan"
"US-6 @ EUREKA",NA,NA,0,0,0,100,0,0,39.96,-112.102,"Utah"
"US-6 @ MP 256 SR-123",NA,NA,0,0,0,100,0,0,39.526,-110.5744,"Carbon"
"US-6 @ RED NARROWS",NA,NA,0,0,0,100,0,0,39.989,-111.37,"Utah"
"US-6 @ SOLDIER SUMMIT",NA,NA,0,0,0,100,0,0,39.928,-111.083,"Utah"
"US-89 @ MP 104 LONG VALLEY JCT",2024-03-02 16:00:00,2024-03-03 10:10:00,0.46,8.32,18.17,16.51,75.23,8.26,37.49065,-112.51165,"Kane"
"US-89 @ MP 254 SOUTH MANTI",NA,NA,0,0,0,100,0,0,39.2434,-111.6523,"Sanpete"
"US-89 @ MP 290 HILLTOP",NA,NA,0,0,0,100,0,0,39.716,-111.47082,"Sanpete"
"US-89 @ MP 426.5 WILLARD",NA,NA,0,0,0,100,0,0,41.3906,-112.0343,"Box Elder"
"US-89 @ MP 490 NORTH SINK",NA,NA,0,0,0,100,0,0,41.94725,-111.4818,"Cache"
"US-89 @ SARDINE",2024-03-02 11:10:00,2024-03-03 12:00:00,0.43,10.66,24.83,10.07,79.87,10.07,41.584,-111.9532,"Cache"
"US-89 @ USU",2024-03-02 12:00:00,2024-03-03 11:10:00,0.27,6.23,23.17,17.14,81.43,1.43,41.74,-111.811,"Cache"
"US-91 @ MP 20 WELLSVILLE",2024-03-02 12:40:00,2024-03-03 12:40:00,0.31,7.5,24,11.03,65.52,23.45,41.6533,-111.9058,"Cache"
"US-91 @ MP 39 RICHMOND",2024-03-02 12:10:00,2024-03-03 19:30:00,0.13,4.19,31.33,13.23,86.77,0,41.909,-111.81445,"Cache"
"US-91 @ MP 6 MANTUA",2024-03-02 11:50:00,2024-03-03 09:00:00,0.453456924754635,4.1582,9.17,8.75368593238822,80.6708287895311,10.5754852780807,41.498,-111.9028,"Box Elder"
